,city_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date
99,hanmer springs,-42.52,172.82,54.61,56,0,3.02,NZ,1588727136
100,bluff,-46.6,168.33,53.74,79,100,21.45,NZ,1588727136
101,puerto el triunfo,13.28,-88.55,84.2,79,40,8.05,SV,1588727136
102,kenai,60.55,-151.26,60.8,50,1,10.29,US,1588727130
103,udachnyy,66.42,112.4,10.4,92,90,11.18,RU,1588727136
104,constitucion,-35.33,-72.42,57.72,59,16,6.96,CL,1588727137
105,viedma,-40.81,-63.0,48.85,79,9,7.0,AR,1588727137
106,fray bentos,-33.13,-58.3,54.0,80,0,11.01,UY,1588727137
107,alice springs,-23.7,133.88,68.0,22,0,8.05,AU,1588727081
108,sioux lookout,50.1,-91.92,55.4,30,75,9.17,CA,1588727137
109,vao,-22.67,167.48,72.0,75,100,26.75,NC,1588727138
110,souillac,-20.52,57.52,73.99,87,27,1.99,MU,1588727138
111,moose factory,51.26,-80.61,33.8,64,1,6.93,CA,1588727138
112,saldanha,-33.01,17.94,57.2,82,11,2.24,ZA,1588727138
113,zhmerynka,49.04,28.11,50.0,81,100,8.03,UA,1588727138
114,lardos,36.09,28.02,64.4,88,40,11.41,GR,1588727139
115,lebu,-37.62,-73.65,54.34,76,0,17.78,CL,1588727139
116,sao miguel do araguaia,-13.28,-50.16,74.73,79,46,2.8,BR,1588727139
117,indiana,40.0,-86.25,45.0,100,90,8.05,US,1588727139
118,mabaruma,8.2,-59.78,78.13,82,100,4.68,GY,1588726985
119,oboyan,51.21,36.28,55.99,100,100,4.47,RU,1588727140
120,ciudad del maiz,22.4,-99.6,80.01,53,78,13.0,MX,1588727140
121,krasnoselkup,65.7,82.47,28.9,94,100,9.04,RU,1588727140
122,miramar,25.99,-80.23,80.6,69,1,9.17,US,1588727140
123,sacele,45.62,25.69,48.99,82,100,3.53,RO,1588727140
124,cherskiy,68.75,161.3,30.04,92,0,3.11,RU,1588727140
125,santa isabel do rio negro,-0.41,-65.02,74.34,99,100,2.08,BR,1588727141
126,lasa,46.62,10.7,44.6,100,90,8.05,IT,1588727141
127,slave lake,55.28,-114.77,66.2,24,1,12.75,CA,1588727141
128,la ronge,55.1,-105.28,55.4,30,5,5.82,CA,1588727141
129,pangnirtung,66.15,-65.71,8.6,89,0,1.41,CA,1588727141
130,matara,5.95,80.54,80.51,85,24,5.86,LK,1588727141
131,saint george,37.1,-113.58,89.01,8,1,9.17,US,1588727141
132,vaini,-21.2,-175.2,80.6,83,75,6.93,TO,1588727142
133,port elizabeth,-33.92,25.57,64.4,77,40,13.87,ZA,1588726849
134,ust-nera,64.57,143.2,26.55,89,91,2.86,RU,1588727142
135,ola,59.58,151.28,37.38,71,100,17.96,RU,1588727142
136,katsuura,35.13,140.3,66.0,88,75,8.05,JP,1588727142
137,gimli,50.63,-96.99,55.99,34,0,8.01,CA,1588727102
138,touros,-5.2,-35.46,77.0,100,40,4.7,BR,1588726864
139,cedar city,37.68,-113.06,75.2,11,1,6.93,US,1588727143
140,barcelona,41.39,2.16,68.0,82,20,6.93,ES,1588726897
141,bairiki,1.33,172.98,83.43,79,26,10.38,KI,1588727143
142,dovolnoye,54.5,79.67,43.32,68,100,10.33,RU,1588727143
143,hirado,33.36,129.55,69.8,83,40,17.22,JP,1588727143
144,mareeba,-17.0,145.43,77.0,70,17,5.99,AU,1588727144
145,pemangkat,1.17,108.97,83.05,80,65,6.6,ID,1588726952
146,camana,-16.62,-72.71,66.97,79,100,6.53,PE,1588727085
147,ponta do sol,32.67,-17.1,62.6,82,20,4.7,PT,1588727144
148,codrington,-38.27,141.97,61.52,50,100,17.29,AU,1588727144
149,russell,32.35,-85.2,80.6,69,1,5.82,US,1588727144
150,bonfim,3.08,-59.95,77.36,87,100,0.49,BR,1588727144
151,saint-joseph,-21.37,55.62,71.6,78,35,3.36,RE,1588727145
152,dumai,1.68,101.45,80.42,80,99,4.63,ID,1588727145
153,tiksi,71.69,128.87,21.87,97,100,7.56,RU,1588727145
154,pangkalanbuun,-2.68,111.62,85.08,75,5,2.62,ID,1588727145
155,mataura,-46.19,168.86,55.67,62,20,8.19,NZ,1588727145
156,mehamn,71.04,27.85,36.32,82,33,20.15,NO,1588727146
157,torbay,47.67,-52.73,39.2,100,90,21.92,CA,1588727146
158,margate,51.38,1.39,48.99,84,0,17.05,GB,1588727081
159,golden,39.76,-105.22,68.0,15,75,11.41,US,1588727146
